flight_id,route,date,aircraft,capacity,base_price
FL00001,CHI-MIA,2023-04-17,A320,220,264.22
FL00002,NYC-CHI,2023-11-27,A321,220,354.74
FL00003,LAX-SF,2023-05-30,A320,220,252.39
FL00004,NYC-CHI,2023-11-10,A320,150,293.62
FL00005,NYC-BOS,2023-02-28,A320,150,234.05
FL00006,CHI-MIA,2023-06-24,A321,180,246.48
FL00007,LAX-SF,2023-05-11,A321,150,262.51
FL00008,NYC-LAX,2023-03-30,A321,180,441.62
FL00009,CHI-MIA,2023-09-22,B737,180,273.38
FL00010,CHI-MIA,2023-02-04,A320,220,216.97
FL00011,NYC-LAX,2023-02-23,B737,180,333.59
FL00012,NYC-CHI,2023-07-21,B737,180,307.87
FL00013,CHI-MIA,2023-10-31,B737,220,272.38
FL00014,CHI-MIA,2023-10-23,A320,180,194.9
FL00015,NYC-BOS,2023-02-22,A320,180,263.82
FL00016,CHI-MIA,2023-06-06,A320,150,252.58
FL00017,NYC-BOS,2023-11-23,A320,150,193.73
FL00018,LAX-SF,2023-06-12,A321,150,209.0
FL00019,LAX-SF,2023-09-18,A320,220,256.35
FL00020,CHI-MIA,2023-11-24,A321,150,267.91
FL00021,CHI-MIA,2023-02-17,B737,150,294.07
FL00022,NYC-BOS,2023-02-04,A321,180,216.28
FL00023,NYC-LAX,2023-05-11,A321,150,418.07
FL00024,LAX-SF,2023-01-15,A320,220,296.14
FL00025,NYC-CHI,2023-06-28,B737,150,303.48
FL00026,CHI-MIA,2023-08-19,A320,180,241.03
FL00027,NYC-BOS,2023-01-29,A321,220,225.75
FL00028,NYC-CHI,2023-03-03,B737,150,279.93
FL00029,NYC-LAX,2023-10-11,A320,180,373.51
FL00030,LAX-SF,2023-12-14,B737,220,265.4
FL00031,NYC-LAX,2023-08-13,A321,180,442.5
FL00032,NYC-LAX,2023-09-16,A320,150,334.43
FL00033,LAX-SF,2023-06-14,A320,180,217.11
FL00034,LAX-SF,2023-06-29,B737,150,277.45
FL00035,NYC-LAX,2023-02-21,B737,150,440.89
FL00036,LAX-SF,2023-04-23,A320,150,218.36
FL00037,NYC-LAX,2023-01-02,A321,150,367.04
FL00038,NYC-BOS,2023-05-06,A320,150,250.12
FL00039,NYC-CHI,2023-06-09,A320,180,386.35
FL00040,LAX-SF,2023-09-12,A321,150,286.95
FL00041,NYC-BOS,2023-08-28,B737,180,236.72
FL00042,LAX-SF,2023-09-16,B737,150,261.35
FL00043,CHI-MIA,2023-12-12,A321,220,203.48
FL00044,CHI-MIA,2023-05-08,A320,150,252.06
FL00045,NYC-CHI,2023-05-31,A320,220,374.89
FL00046,CHI-MIA,2023-03-01,B737,150,261.89
FL00047,NYC-LAX,2023-10-31,B737,150,403.14
FL00048,LAX-SF,2023-08-21,A321,150,265.05
FL00049,LAX-SF,2023-06-01,A321,220,277.62
